Name,InspectionAddress,Full Address,BillingType,Status,Billing Type Specification,Store Type,Sells Produce,Latitude,Longitude
Connell Food & Gas Mart (Store),457 S Columbia Ave  Connell WA 99326,"Connell Food & Gas Mart ,457 S Columbia Ave  Connell WA 99326",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.6569381,-118.8617548
Costco Wholesale #486 (Store),8505 W Gage Blvd  Kennewick WA 99336,"Costco Wholesale  ,8505 W Gage Blvd  Kennewick WA 99336",10+ Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.22704139,-119.2354275
Cottage Market (Store),1825  Wine Country Rd  Prosser WA 99350,"Cottage Market ,1825  Wine Country Rd  Prosser WA 99350",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.2108181,-119.7615549
Country Mercantile (Store),232  Crestloch Rd  Pasco WA 99301,"Country Mercantile ,232  Crestloch Rd  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Food Service,46.35652373,-119.0853893
Country Mercantile II (Store),5015  Ava Way  Richland WA 99352,"Country Mercantile II ,5015  Ava Way  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Food Service,46.2248169,-119.3425119
Court Street Mini Mart (Grocery),3720 W Court St  Pasco WA 99301,"Court Street Mini Mart ,3720 W Court St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.24125145,-119.1405042
Dallas Gasoline (Store),5151  Trowbridge Blvd  Richland WA 99352,"Dallas Gasoline ,5151  Trowbridge Blvd  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2204772,-119.3324789
Dan's Market,424 S Gum St  Kennewick WA 99336,"Dan's Market,424 S Gum St  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),,Grocery,46.203378,-119.1072592
"Desert Food Mart, LLC (Store)",10806  Kennedy Rd  Benton City WA 99320,"Desert Food Mart,LLC ,10806  Kennedy Rd  Benton City WA 99320",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2520525,-119.4744002
Devin Oil Co. Inc./ Mobil 1 (Store),2601 W Court St  Pasco WA 99301,"Devin Oil Co. Inc./ Mobil 1 ,2601 W Court St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.241587,-119.125412
